Class code,Class descriptor
0111,Nursery Production (Under Cover)
0112,Nursery Production (Outdoors)
0113,Turf Growing
0114,Floriculture Production (Under Cover)
0115,Floriculture Production (Outdoors)
0121,Mushroom Growing
0122,Vegetable Growing (Under Cover)
0123,Vegetable Growing (Outdoors)
0131,Grape Growing
0132,Kiwifruit Growing
0133,Berry Fruit Growing
0134,Apple and Pear Growing
0135,Stonefruit Growing
0136,Citrus Fruit Growing
0137,Olive Growing
0139,Other Fruit and Tree Nut Growing
0141,Sheep Farming (Specialised)
0142,Beef Cattle Farming (Specialised)
0143,Beef Cattle Feedlots (Specialised)
0144,Sheep-Beef Cattle Farming
0145,Grain-Sheep and Grain-Beef Cattle Farming
0146,Rice Growing
0149,Other Grain Growing
0151,Sugar Cane Growing
0152,Cotton Growing
0159,Other Crop Growing n.e.c.
0160,Dairy Cattle Farming
0171,Poultry Farming (Meat)
0172,Poultry Farming (Eggs)
0180,Deer Farming
0191,Horse Farming
0192,Pig Farming
0193,Beekeeping
0199,Other Livestock Farming n.e.c.
0201,Longline and Rack (Offshore) Aquaculture
0202,Caged (Offshore) Aquaculture
0203,Onshore Aquaculture
0301,Forestry
0302,Logging
0411,Rock Lobster and Crab Potting
0412,Prawn Fishing
0413,Line Fishing
0414,"Fish Trawling, Seining and Netting"
0419,Other Fishing
0420,Hunting and Trapping
0510,Forestry Support Services
0521,Cotton Ginning
0522,Shearing Services
0529,Other Agriculture and Fishing Support Services
0600,Coal Mining
0700,Oil and Gas Extraction
0801,Iron Ore Mining
0802,Bauxite Mining
0803,Copper Ore Mining
0804,Gold Ore Mining
0805,Mineral Sand Mining
0806,Nickel Ore Mining
0807,Silver-Lead-Zinc Ore Mining
0809,Other Metal Ore Mining
0911,Gravel and Sand Quarrying
0919,Other Construction Material Mining
0990,Other Non-Metallic Mineral Mining and Quarrying
1011,Petroleum Exploration
1012,Mineral Exploration
1090,Other Mining Support Services
1111,Meat Processing
1112,Poultry Processing
1113,Cured Meat and Smallgoods Manufacturing
1120,Seafood Processing
1131,Milk and Cream Processing
1132,Ice Cream Manufacturing
1133,Cheese and Other Dairy Product Manufacturing
1140,Fruit and Vegetable Processing
1150,Oil and Fat Manufacturing
1161,Grain Mill Product Manufacturing
1162,"Cereal, Pasta and Baking Mix Manufacturing"
1171,Bread Manufacturing (Factory-based)
1172,Cake and Pastry Manufacturing (Factory-based)
1173,Biscuit Manufacturing (Factory-based)
1174,Bakery Product Manufacturing (Non-factory-based)
1181,Sugar Manufacturing
1182,Confectionery Manufacturing
1191,Potato Crisps and Corn Chips Manufacturing
1192,Prepared Animal and Bird Feed Manufacturing
1199,Other Food Products Manufacturing n.e.c.
1211,"Soft Drink, Cordial and Syrup Manufacturing"
1212,Beer Manufacturing
1213,Spirit Manufacturing
1214,Wine and Other Alcoholic Beverage Manufacturing
1220,Cigarette and Tobacco Product Manufacturing
1311,Wool Scouring
1312,Natural Fibre Textile Manufacturing
1313,Synthetic Fibre Textile Manufacturing
1320,Leather Tanning and Fur Dressing
1331,Textile Floor Covering Manufacturing
1332,"Rope, Cordage and Twine Manufacturing"
1333,Cut and Sewn Textile Product Manufacturing
1334,Textile Finishing and Other Textile Product Manufacturing
1340,Knitted Product Manufacturing
1351,Clothing Manufacturing
1352,Footwear Manufacturing
1411,Log Sawmilling
1412,Wood Chipping
1413,Timber Resawing and Dressing
1491,Prefabricated Wooden Building Manufacturing
1492,Wooden Structural Fittings and Components Manufacturing
1493,Veneer and Plywood Manufacturing
1494,Reconstituted Wood Product Manufacturing
1499,Other Wood Product Manufacturing n.e.c.
1510,"Pulp, Paper and Paperboard Manufacturing"
1521,Corrugated Paperboard and Paperboard Container Manufacturing
1522,Paper Bag and Sack Manufacturing
1523,Paper Stationery Manufacturing
1524,Sanitary Paper Product Manufacturing
1529,Other Converted Paper Product Manufacturing
1611,Printing
1612,Printing Support Services
1620,Reproduction of Recorded Media
1701,Petroleum Refining and Petroleum Fuels Manufacturing
1709,Other Petroleum and Coal Product Manufacturing
1811,Industrial Gases Manufacturing
1812,Basic Organic Chemical Manufacturing
1813,Basic Inorganic Chemical Manufacturing
1821,Synthetic Resin and Synthetic Rubber Manufacturing
1829,Other Basic Polymer Manufacturing
1831,Fertiliser Manufacturing
1832,Pesticide Manufacturing
1841,Human Pharmaceutical and Medicinal Product Manufacturing
1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing
1851,Cleaning Compound Manufacturing
1852,Cosmetic and Toiletry Preparation Manufacturing
1891,Photographic Chemical Manufacturing
1892,Explosives Manufacturing
1899,Other Basic Chemical Product Manufacturing n.e.c.
1911,Polymer Film and Sheet Packaging Material Manufacturing
1912,Rigid and Semi Rigid Polymer Product Manufacturing
1913,Polymer Foam Product Manufacturing
1914,Tyre Manufacturing
1915,Adhesive Manufacturing
1916,Paint and Coatings Manufacturing
1919,Other Polymer Product Manufacturing
1920,Natural Rubber Product Manufacturing
2010,Glass and Glass Product Manufacturing
2021,Clay Brick Manufacturing
2029,Other Ceramic Product Manufacturing
2031,Cement and Lime Manufacturing
2032,Plaster and Gypsum Product Manufacturing
2033,Ready-Mixed Concrete Manufacturing
2034,Concrete Product Manufacturing
2090,Other Non-Metallic Mineral Product Manufacturing
2110,Iron Smelting and Steel Manufacturing
2121,Iron and Steel Casting
2122,Steel Pipe and Tube Manufacturing
2131,Alumina Production
2132,Aluminium Smelting
2133,"Copper, Silver, Lead, and Zinc Smelting and Refining"
2139,Other Basic Non-Ferrous Metal Manufacturing
2141,Non-Ferrous Metal Casting
2142,"Aluminium Rolling, Drawing, Extruding"
2149,Other Basic Non-Ferrous Metal Product Manufacturing
2210,Iron and Steel Forging
2221,Structural Steel Fabricating
2222,Prefabricated Metal Building Manufacturing
2223,Architectural Aluminium Product Manufacturing
2224,Metal Roof and Guttering Manufacturing (except Aluminium)
2229,Other Structural Metal Product Manufacturing
2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
2239,Other Metal Container Manufacturing
2240,Other Sheet Metal Product Manufacturing
2291,Spring and Wire Product Manufacturing
2292,"Nut, Bolt, Screw and Rivet Manufacturing"
2293,Metal Coating and Finishing
2299,Other Fabricated Metal Product Manufacturing n.e.c.
2311,Motor Vehicle Manufacturing
2312,Motor Vehicle Body and Trailer Manufacturing
2313,Automotive Electrical Components Manufacturing
2319,Other Motor Vehicle Parts Manufacturing
2391,Shipbuilding and Repair Services
2392,Boatbuilding and Repair Services
2393,Railway Rolling Stock Manufacturing and Repair Services
2394,Aircraft Manufacturing and Repair Services
2399,Other Transport Equipment Manufacturing n.e.c.
2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
2412,Medical and Surgical Equipment Manufacturing
2419,Other Professional and Scientific Equipment Manufacturing
2421,Computer and Electronic Office Equipment Manufacturing
2422,Communications Equipment Manufacturing
2429,Other Electronic Equipment Manufacturing
2431,Electric Cable and Wire Manufacturing
2432,Electric Lighting Equipment Manufacturing
2439,Other Electrical Equipment Manufacturing
2441,Whiteware Appliance Manufacturing
2449,Other Domestic Appliance Manufacturing
2451,Pumps and Compressors Manufacturing
2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
2461,Agricultural Machinery and Equipment Manufacturing
2462,Mining and Construction Machinery Manufacturing
2463,Machine Tool and Parts Manufacturing
2469,Other Specialised Machinery and Equipment Manufacturing
2491,Lifting and Material Handling Equipment Manufacturing
2499,Other Machinery and Equipment Manufacturing n.e.c.
2511,Wooden Furniture and Upholstered Seat Manufacturing
2512,Metal Furniture Manufacturing
2513,Mattress Manufacturing
2519,Other Furniture Manufacturing
2591,Jewellery and Silverware Manufacturing
2592,"Toy, Sporting and Recreational Product Manufacturing"
2599,Other Manufacturing n.e.c.
2611,Fossil Fuel Electricity Generation
2612,Hydro-electricity Generation
2619,Other Electricity Generation
2620,Electricity Transmission
2630,Electricity Distribution
2640,On Selling Electricity and Electricity Market Operation
2700,Gas Supply
2811,Water Supply
2812,Sewerage and Drainage Services
2911,Solid Waste Collection Services
2919,Other Waste Collection Services
2921,Waste Treatment and Disposal Services
2922,Waste Remediation and Materials Recovery Services
3011,House Construction
3019,Other Residential Building Construction
3020,Non-Residential Building Construction
3101,Road and Bridge Construction
3109,Other Heavy and Civil Engineering Construction
3211,Land Development and Subdivision
3212,Site Preparation Services
3221,Concreting Services
3222,Bricklaying Services
3223,Roofing Services
3224,Structural Steel Erection Services
3231,Plumbing Services
3232,Electrical Services
3233,Air Conditioning and Heating Services
3234,Fire and Security Alarm Installation Services
3239,Other Building Installation Services
3241,Plastering and Ceiling Services
3242,Carpentry Services
3243,Tiling and Carpeting Services
3244,Painting and Decorating Services
3245,Glazing Services
3291,Landscape Construction Services
3292,Hire of Construction Machinery with Operator
3299,Other Construction Services n.e.c.
3311,Wool Wholesaling
3312,Cereal Grain Wholesaling
3319,Other Agricultural Product Wholesaling
3321,Petroleum Product Wholesaling
3322,Metal and Mineral Wholesaling
3323,Industrial and Agricultural Chemical Product Wholesaling
3331,Timber Wholesaling
3332,Plumbing Goods Wholesaling
3339,Other Hardware Goods Wholesaling
3411,Agricultural and Construction Machinery Wholesaling
3419,Other Specialised Industrial Machinery and Equipment Wholesaling
3491,Professional and Scientific Goods Wholesaling
3492,Computer and Computer Peripherals Wholesaling
3493,Telecommunication Goods Wholesaling
3494,Other Electrical and Electronic Goods Wholesaling
3499,Other Machinery and Equipment Wholesaling n
3501,Car Wholesaling
3502,Commercial Vehicle Wholesaling
3503,Trailer and Other Motor Vehicle Wholesaling
3504,Motor Vehicle New Part Wholesaling
3505,Motor Vehicle Dismantling and Used Part Wholesaling
3601,General Line Groceries Wholesaling
3602,"Meat, Poultry and Smallgoods Wholesaling"
3603,Dairy Produce Wholesaling
3604,Fish and Seafood Wholesaling
3605,Fruit and Vegetable Wholesaling
3606,Liquor and Tobacco Product Wholesaling
3609,Other Grocery Wholesaling
3711,Textile Product Wholesaling
3712,Clothing and Footwear Wholesaling
3720,Pharmaceutical and Toiletry Goods Wholesaling
3731,Furniture and Floor Coverings Wholesaling
3732,Jewellery and Watch Wholesaling
3733,Kitchen and Dining Ware Wholesaling
3734,Toy and Sporting Goods Wholesaling
3735,Book and Magazine Wholesaling
3736,Paper Product Wholesaling
3739,Other Goods Wholesaling n.e.c.
3800,Commission Based Wholesaling
3911,Car Retailing
3912,Motor Cycle Retailing
3913,Trailer and Other Motor Vehicle Retailing
3921,Motor Vehicle Parts Retailing
3922,Tyre Retailing
4000,Fuel Retailing
4110,Supermarket and Grocery Stores
4121,"Fresh Meat, Fish and Poultry Retailing"
4122,Fruit and Vegetable Retailing
4123,Liquor Retailing
4129,Other Specialised Food Retailing
4211,Furniture Retailing
4212,Floor Coverings Retailing
4213,Houseware Retailing
4214,Manchester and Other Textile Goods Retailing
4221,"Electrical, Electronic and Gas Appliance Retailing"
4222,Computer and Computer Peripherals Retailing
4229,Other Electrical and Electronic Goods Retailing
4231,Hardware and Building Supplies Retailing
4232,Garden Supplies Retailing
4241,Sport and Camping Equipment Retailing
4242,Entertainment Media Retailing
4243,Toy and Game Retailing
4244,Newspaper and Book Retailing
4245,Marine Equipment Retailing
4251,Clothing Retailing
4252,Footwear Retailing
4253,Watch and Jewellery Retailing
4259,Other Personal Accessories Retailing
4260,Department Stores
4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
4272,Stationery Goods Retailing
4273,Antique and Used Goods Retailing
4274,Flower Retailing
4279,Other Store-Based Retailing n.e.c.
4310,Non Store Retailing
4320,Retail Commission Based Buying and/or Selling
4400,Accommodation
4511,Cafes and Restaurants
4512,Takeaway Food Services
4513,Catering Services
4520,"Pubs, Taverns and Bars"
4530,Clubs (Hospitality)
4610,Road Freight Transport
4621,Interurban and Rural Bus Transport
4622,Urban Bus Transport (Including Tramway)
4623,Taxi and Other Road Transport
4710,Rail Freight Transport
4720,Rail Passenger Transport
4810,Water Freight Transport
4820,Water Passenger Transport
4900,Air and Space Transport
5010,Scenic and Sightseeing Transport
5021,Pipeline Transport
5029,Other Transport n.e.c.
5101,Postal Services
