Class code,Class descriptor
A011100,Nursery Production (Under Cover)
A011200,Nursery Production (Outdoors)
A011300,Turf Growing
A011400,Floriculture Production (Under Cover)
A011500,Floriculture Production (Outdoors)
A012100,Mushroom Growing
A012200,Vegetable Growing (Under Cover)
A012300,Vegetable Growing (Outdoors)
A013100,Grape Growing
A013200,Kiwifruit Growing
A013300,Berry Fruit Growing
A013400,Apple and Pear Growing
A013500,Stone Fruit Growing
A013600,Citrus Fruit Growing
A013700,Olive Growing
A013900,Other Fruit and Tree Nut Growing
A014100,Sheep Farming (Specialised)
A014200,Beef Cattle Farming (Specialised)
A014300,Beef Cattle Feedlots (Specialised)
A014400,Sheep-Beef Cattle Farming
A014500,Grain-Sheep and Grain-Beef Cattle Farming
A014600,Rice Growing
A014900,Other Grain Growing
A015100,Sugar Cane Growing
A015200,Cotton Growing
A015900,Other Crop Growing n.e.c.
A016000,Dairy Cattle Farming
A017100,Poultry Farming (Meat)
A017200,Poultry Farming (Eggs)
A018000,Deer Farming
A019100,Horse Farming
A019200,Pig Farming
A019300,Beekeeping
A019900,Other Livestock Farming n.e.c.
A020100,Longline and Rack (Offshore) Aquaculture
A020200,Caged (Offshore) Aquaculture
A020300,Onshore Aquaculture
A030100,Forestry
A030200,Logging
A041100,Rock Lobster and Crab Potting
A041200,Prawn Fishing
A041300,Line Fishing
A041400,"Fish Trawling, Seining and Netting"
A041900,Other Fishing
A042000,Hunting and Trapping
A051000,Forestry Support Services
A052100,Cotton Ginning
A052200,Shearing Services
A052900,Other Agriculture and Fishing Support Services
B060000,Coal Mining
B070000,Oil and Gas Extraction
B080100,Iron Ore Mining
B080200,Bauxite Mining
B080300,Copper Ore Mining
B080400,Gold Ore Mining
B080500,Mineral Sand Mining
B080600,Nickel Ore Mining
B080700,Silver-Lead-Zinc Ore Mining
B080900,Other Metal Ore Mining
B091100,Gravel and Sand Quarrying
B091900,Other Construction Material Mining
B099000,Other Non-Metallic Mineral Mining and Quarrying
B101100,Petroleum Exploration
B101200,Mineral Exploration
B109000,Other Mining Support Services
C111100,Meat Processing
C111200,Poultry Processing
C111300,Cured Meat and Smallgoods Manufacturing
C112000,Seafood Processing
C113100,Milk and Cream Processing
C113200,Ice Cream Manufacturing
C113300,Cheese and Other Dairy Product Manufacturing
C114000,Fruit and Vegetable Processing
C115000,Oil and Fat Manufacturing
C116100,Grain Mill Product Manufacturing
C116200,"Cereal, Pasta and Baking Mix Manufacturing"
C117100,Bread Manufacturing (Factory-based)
C117200,Cake and Pastry Manufacturing (Factory-based)
C117300,Biscuit Manufacturing (Factory-based)
C117400,Bakery Product Manufacturing (Non-factory-based)
C118100,Sugar Manufacturing
C118200,Confectionery Manufacturing
C119100,Potato Crisps and Corn Chips Manufacturing
C119200,Prepared Animal and Bird Feed Manufacturing
C119900,Other Food Products Manufacturing n.e.c.
C121100,"Soft Drink, Cordial and Syrup Manufacturing"
C121200,Beer Manufacturing
C121300,Spirit Manufacturing
C121400,Wine and Other Alcoholic Beverage Manufacturing
C122000,Cigarette and Tobacco Product Manufacturing
C131100,Wool Scouring
C131200,Natural Fibre Textile Manufacturing
C131300,Synthetic Fibre Textile Manufacturing
C132000,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
C133100,Textile Floor Covering Manufacturing
C133200,"Rope, Cordage and Twine Manufacturing"
C133300,Cut and Sewn Textile Product Manufacturing
C133400,Textile Finishing and Other Textile Product Manufacturing
C134000,Knitted Product Manufacturing
C135100,Clothing Manufacturing
C135200,Footwear Manufacturing
C141100,Log Sawmilling
C141200,Wood Chipping
C141300,Timber Resawing and Dressing
C149100,Prefabricated Wooden Building Manufacturing
C149200,Wooden Structural Fittings and Components Manufacturing
C149300,Veneer and Plywood Manufacturing
C149400,Reconstituted Wood Product Manufacturing
C149900,Other Wood Product Manufacturing n.e.c.
C151000,"Pulp, Paper and Paperboard Manufacturing"
C152100,Corrugated Paperboard and Paperboard Container Manufacturing
C152200,Paper Bag and Sack Manufacturing
C152300,Paper Stationery Manufacturing
C152400,Sanitary Paper Product Manufacturing
C152900,Other Converted Paper Product Manufacturing
C161100,Printing
C161200,Printing Support Services
C162000,Reproduction of Recorded Media
C170100,Petroleum Refining and Petroleum Fuels Manufacturing
C170900,Other Petroleum and Coal Product Manufacturing
C181100,Industrial Gases Manufacturing
C181200,Basic Organic Chemical Manufacturing
C181300,Basic Inorganic Chemical Manufacturing
C182100,Synthetic Resin and Synthetic Rubber Manufacturing
C182900,Other Basic Polymer Manufacturing
C183100,Fertiliser Manufacturing
C183200,Pesticide Manufacturing
C184100,Human Pharmaceutical and Medicinal Product Manufacturing
C184200,Veterinary Pharmaceutical and Medicinal Product Manufacturing
C185100,Cleaning Compound Manufacturing
C185200,Cosmetic and Toiletry Preparation Manufacturing
C189100,Photographic Chemical Manufacturing
C189200,Explosives Manufacturing
C189900,Other Basic Chemical Product Manufacturing n.e.c.
C191100,Polymer Film and Sheet Packaging Material Manufacturing
C191200,Rigid and Semi Rigid Polymer Product Manufacturing
C191300,Polymer Foam Product Manufacturing
C191400,Tyre Manufacturing
C191500,Adhesive Manufacturing
C191600,Paint and Coatings Manufacturing
C191900,Other Polymer Product Manufacturing
C192000,Natural Rubber Product Manufacturing
C201000,Glass and Glass Product Manufacturing
C202100,Clay Brick Manufacturing
C202900,Other Ceramic Product Manufacturing
C203100,Cement and Lime Manufacturing
C203200,Plaster and Gypsum Product Manufacturing
C203300,Ready-Mixed Concrete Manufacturing
